Model,Accuracy mean %,Precision mean %,Recall mean %,F1 Score mean %,Features
Decision Tree,69.72413793,69.48832016,61.31868132,63.948019,"['sex', 'chol', 'oldpeak']"
Decision Tree,69.68965517,66.37382389,70.98901099,68.10416336,"['sex', 'chol', 'slope']"
Decision Tree,75.7816092,78.63516386,66.59340659,70.84574279,"['sex', 'chol', 'ca']"
Decision Tree,73.10344828,70.17266394,72.47252747,70.94266382,"['sex', 'chol', 'thal']"
Decision Tree,58.26436782,54.76651565,59.01098901,54.82112508,"['sex', 'fbs', 'restecg']"
Decision Tree,70.06896552,78.2049617,54.78021978,62.93968507,"['sex', 'fbs', 'thalach']"
Decision Tree,70.05747126,77.84343434,51.86813187,61.30932188,"['sex', 'fbs', 'exang']"
Decision Tree,73.06896552,72.88844489,66.97802198,69.03483643,"['sex', 'fbs', 'oldpeak']"
Decision Tree,71.06896552,74.72222222,57.85714286,64.05201642,"['sex', 'fbs', 'slope']"
Decision Tree,76.8045977,82.44075369,63.73626374,70.95292164,"['sex', 'fbs', 'ca']"
Decision Tree,76.48275862,75.61659909,73.13186813,74.00380797,"['sex', 'fbs', 'thal']"
Decision Tree,70.06896552,78.2049617,54.78021978,62.93968507,"['sex', 'restecg', 'thalach']"
Decision Tree,67.66666667,73.64241314,51.86813187,59.10711044,"['sex', 'restecg', 'exang']"
Decision Tree,72.06896552,71.8373881,63.40659341,66.44479743,"['sex', 'restecg', 'oldpeak']"
Decision Tree,68.05747126,70.84371184,55.65934066,61.19394149,"['sex', 'restecg', 'slope']"
Decision Tree,76.8045977,82.44075369,63.73626374,70.95292164,"['sex', 'restecg', 'ca']"
Decision Tree,75.47126437,75.04200701,70.21978022,72.16870629,"['sex', 'restecg', 'thal']"
Decision Tree,69.06896552,70.74346405,60.49450549,63.91757203,"['sex', 'thalach', 'exang']"
Decision Tree,73.73563218,79.60754523,62.69230769,68.45896209,"['sex', 'thalach', 'oldpeak']"
Decision Tree,70.04597701,75.75369797,59.12087912,64.35146024,"['sex', 'thalach', 'slope']"
Decision Tree,73.74712644,72.64668746,73.79120879,72.06969005,"['sex', 'thalach', 'ca']"
Decision Tree,77.47126437,75.36109724,76.75824176,75.77821565,"['sex', 'thalach', 'thal']"
Decision Tree,72.42528736,80.58134921,55.43956044,64.08520214,"['sex', 'exang', 'oldpeak']"
Decision Tree,75.75862069,72.3541532,77.41758242,74.54821171,"['sex', 'exang', 'slope']"
Decision Tree,79.17241379,76.29225023,81.20879121,78.07539574,"['sex', 'exang', 'ca']"
Decision Tree,75.45977011,73.18415245,75.93406593,74.02363517,"['sex', 'exang', 'thal']"
Decision Tree,72.40229885,73.34871011,64.12087912,67.95894166,"['sex', 'oldpeak', 'slope']"
Decision Tree,77.13793103,78.11405261,70.93406593,73.83663463,"['sex', 'oldpeak', 'ca']"
Decision Tree,73.47126437,73.17632368,68.02197802,70.0445519,"['sex', 'oldpeak', 'thal']"
Decision Tree,76.44827586,77.5272897,73.2967033,73.30472434,"['sex', 'slope', 'ca']"
Decision Tree,75.44827586,71.46912565,79.67032967,74.72976455,"['sex', 'slope', 'thal']"
Decision Tree,81.49425287,77.50320513,85.49450549,81.03950892,"['sex', 'ca', 'thal']"
Decision Tree,73.79310345,72.23294026,73.9010989,72.23917346,"['cp', 'trestbps', 'chol']"
Decision Tree,74.79310345,73.85326112,73.9010989,73.03629847,"['cp', 'trestbps', 'fbs']"
Decision Tree,74.12643678,72.99051602,73.9010989,72.54686577,"['cp', 'trestbps', 'restecg']"
Decision Tree,74.09195402,73.08896985,73.02197802,72.43085837,"['cp', 'trestbps', 'thalach']"
Decision Tree,76.8045977,87.34970585,59.17582418,69.48197085,"['cp', 'trestbps', 'exang']"
Decision Tree,74.11494253,77.36585052,64.17582418,68.28537296,"['cp', 'trestbps', 'oldpeak']"
Decision Tree,74.09195402,73.00551899,71.64835165,71.60847364,"['cp', 'trestbps', 'slope']"
Decision Tree,74.42528736,82.55880231,61.7032967,66.73681352,"['cp', 'trestbps', 'ca']"
Decision Tree,74.48275862,75.51403498,68.13186813,70.77704418,"['cp', 'trestbps', 'thal']"
Decision Tree,73.74712644,72.15413753,73.07692308,71.95758569,"['cp', 'chol', 'fbs']"
