,Model,Accuracy mean %,Precision mean %,Recall mean %,F1 Score mean %,Features
6638,Naive Bayes,80.61624027,80.07967836,86.21323529,82.8049287,"['sex', 'cp', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak']"
6639,Naive Bayes,75.67927327,76.23665782,81.28676471,78.47870729,"['sex', 'cp', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'slope']"
6640,Naive Bayes,78.63848721,79.05873753,83.71323529,81.14568981,"['sex', 'cp', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'ca']"
6641,Naive Bayes,77.90433815,79.06309892,81.76470588,80.09856916,"['sex', 'cp', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'thal']"
6642,Naive Bayes,77.58175751,76.97694658,84.88970588,80.49484173,"['sex', 'cp', 'chol', 'fbs', 'restecg', 'thalach', 'oldpeak', 'slope']"
6643,Naive Bayes,81.54245458,79.97987616,89.74264706,84.39355857,"['sex', 'cp', 'chol', 'fbs', 'restecg', 'thalach', 'oldpeak', 'ca']"
6644,Naive Bayes,82.19762699,83.61082712,84.81617647,83.83333223,"['sex', 'cp', 'chol', 'fbs', 'restecg', 'thalach', 'oldpeak', 'thal']"
6645,Naive Bayes,77.53874676,76.31625074,86.02941176,80.69540713,"['sex', 'cp', 'chol', 'fbs', 'restecg', 'thalach', 'slope', 'ca']"
6646,Naive Bayes,80.49647757,83.02748529,81.72794118,81.8669789,"['sex', 'cp', 'chol', 'fbs', 'restecg', 'thalach', 'slope', 'thal']"
6647,Naive Bayes,81.15164998,81.86443673,85.36764706,83.22028576,"['sex', 'cp', 'chol', 'fbs', 'restecg', 'thalach', 'ca', 'thal']"
6648,Naive Bayes,79.88283278,80.64712498,83.08823529,81.57794118,"['sex', 'cp', 'chol', 'fbs', 'restecg', 'exang', 'oldpeak', 'slope']"
6649,Naive Bayes,77.88283278,78.69757169,82.53676471,80.31462681,"['sex', 'cp', 'chol', 'fbs', 'restecg', 'exang', 'oldpeak', 'ca']"
6650,Naive Bayes,80.21690768,82.17521368,82.42647059,81.7724378,"['sex', 'cp', 'chol', 'fbs', 'restecg', 'exang', 'oldpeak', 'thal']"
6651,Naive Bayes,78.2499073,80.09536709,81.80147059,80.46055031,"['sex', 'cp', 'chol', 'fbs', 'restecg', 'exang', 'slope', 'ca']"
6652,Naive Bayes,78.90582128,81.38921167,80,80.19459573,"['sex', 'cp', 'chol', 'fbs', 'restecg', 'exang', 'slope', 'thal']"
6653,Naive Bayes,79.22840193,81.88419815,81.17647059,81.13956181,"['sex', 'cp', 'chol', 'fbs', 'restecg', 'exang', 'ca', 'thal']"
6654,Naive Bayes,79.17315536,78.59937276,85.99264706,81.93279545,"['sex', 'cp', 'chol', 'fbs', 'restecg', 'oldpeak', 'slope', 'ca']"
6655,Naive Bayes,79.85131628,82.61958204,80.58823529,81.26095086,"['sex', 'cp', 'chol', 'fbs', 'restecg', 'oldpeak', 'slope', 'thal']"
